date,temperature,temperature_normal,min_temperature,min_temperature_normal,min_temperature_record,max_temperature,max_temperature_normal,max_temperature_record,precip,precipnormal,preciprecord
20000101,50,None,46,None,31,53,None,68,0.0,None,2.16
20000102,48,None,41,None,29,55,None,69,0.0,None,1.67
20000103,52,None,41,None,31,64,None,69,0.0,None,1.33
20000104,55,None,46,None,29,64,None,66,0.01,None,5.59
20000105,57,None,46,None,26,68,None,66,0.0,None,1.98
20000106,46,None,39,None,29,53,None,66,0.0,None,2.34
20000107,48,None,43,None,31,53,None,66,0.0,None,0.87
20000108,52,None,48,None,30,55,None,70,0.0,None,3.12
20000109,50,None,46,None,33,55,None,71,0.0,None,1.31
20000110,54,None,50,None,29,57,None,68,0.0,None,1.82
20000111,54,None,50,None,30,57,None,69,0.42,None,1.3
20000112,48,None,43,None,32,52,None,70,0.01,None,1.56
20000113,52,None,46,None,29,57,None,72,0.01,None,1.97
20000114,50,None,46,None,31,55,None,72,0.0,None,2.21
20000115,56,None,52,None,31,60,None,73,0.14,None,1.03
20000116,52,None,48,None,31,57,None,73,0.57,None,1.84
20000117,50,None,46,None,32,53,None,70,0.14,None,1.06
20000118,55,None,51,None,30,59,None,68,0.61,None,1.82
20000119,56,None,53,None,35,60,None,68,0.1,None,1.52
20000120,54,None,50,None,30,57,None,67,0.0,None,2.49
20000121,54,None,48,None,30,59,None,68,0.03,None,4.07
20000122,53,None,51,None,32,55,None,71,0.19,None,1.55
20000123,56,None,53,None,31,59,None,71,1.18,None,1.3
20000124,55,None,53,None,31,57,None,72,1.73,None,1.72
20000125,55,None,51,None,31,59,None,68,0.01,None,2.54
20000126,52,None,48,None,30,55,None,66,0.0,None,1.52
20000127,53,None,46,None,31,60,None,68,0.0,None,1.65
20000128,50,None,44,None,33,55,None,69,0.0,None,1.04
20000129,52,None,46,None,31,57,None,66,0.0,None,1.57
20000130,54,None,53,None,30,55,None,71,0.54,None,1.91
20000131,52,None,50,None,32,55,None,74,0.04,None,1.99
