date,temperature,temperature_normal,min_temperature,min_temperature_normal,min_temperature_record,max_temperature,max_temperature_normal,max_temperature_record,precip,precipnormal,preciprecord
19900101,40,None,28,None,-3,52,None,70,0.06,None,1.4
19900102,32,None,26,None,-3,39,None,66,0.0,None,2.24
19900103,40,None,32,None,-1,48,None,64,0.0,None,1.51
19900104,40,None,33,None,-4,48,None,64,0.0,None,1.57
19900105,40,None,34,None,-4,46,None,63,0.0,None,1.66
19900106,36,None,30,None,-10,41,None,69,0.0,None,1.76
19900107,31,None,25,None,-2,37,None,63,0.0,None,1.67
19900108,38,None,33,None,-6,42,None,67,0.05,None,1.47
19900109,38,None,32,None,-4,44,None,64,0.02,None,2.14
19900110,40,None,37,None,-3,44,None,58,0.37,None,2.86
19900111,38,None,36,None,-4,41,None,62,0.02,None,1.41
19900112,38,None,32,None,-10,43,None,61,0.0,None,1.65
19900113,26,None,19,None,-9,30,None,63,0.0,None,1.36
19900114,20,None,15,None,-8,26,None,69,0.0,None,1.23
19900115,29,None,21,None,-12,37,None,66,0.04,None,1.79
19900116,39,None,32,None,-7,46,None,64,0.0,None,1.22
19900117,43,None,34,None,-4,52,None,59,0.0,None,1.25
19900118,52,None,43,None,-3,62,None,63,0.0,None,1.41
19900119,36,None,30,None,-6,42,None,61,0.0,None,1.81
19900120,30,None,26,None,-3,35,None,60,0.15,None,2.05
19900121,24,None,15,None,0,33,None,68,0.74,None,2.52
19900122,22,None,14,None,-3,30,None,66,0.1,None,2.0
19900123,34,None,26,None,-6,41,None,68,0.0,None,1.48
19900124,40,None,33,None,-13,46,None,62,0.07,None,1.53
19900125,40,None,37,None,-5,42,None,59,0.41,None,2.08
19900126,47,None,37,None,0,57,None,72,0.61,None,1.18
19900127,40,None,34,None,-6,45,None,63,0.0,None,1.82
19900128,44,None,34,None,-5,53,None,63,0.0,None,1.68
19900129,36,None,33,None,-6,39,None,65,0.73,None,1.27
19900130,39,None,33,None,-5,45,None,63,0.5,None,1.01
19900131,34,None,30,None,-8,39,None,62,0.0,None,1.02
19900201,41,None,30,None,-7,52,None,66,0.0,None,1.14
19900202,42,None,33,None,-5,50,None,55,0.44,None,1.29
19900203,28,None,25,None,-5,32,None,59,0.03,None,1.42
19900204,24,None,17,None,-2,32,None,64,0.88,None,2.55
19900205,22,None,16,None,-10,28,None,65,0.0,None,1.77
19900206,34,None,23,None,-6,45,None,57,0.0,None,1.4
19900207,38,None,30,None,-5,46,None,56,0.0,None,1.93
