date,temperature,min_temperature,max_temperature,precip,icon
19900101,40.0,28.0,52.0,0.06,rain
19900102,32.0,26.0,39.0,0.0,mostlysunny
19900103,40.0,32.0,48.0,0.0,mostlysunny
19900104,40.0,33.0,48.0,0.0,rain
19900105,40.0,34.0,46.0,0.0,partlycloudy
19900106,36.0,30.0,41.0,0.0,partlycloudy
19900107,31.0,25.0,37.0,0.0,partlycloudy
19900108,38.0,33.0,42.0,0.05,snow
19900109,38.0,32.0,44.0,0.02,rain
19900110,40.0,37.0,44.0,0.37,rain
19900111,38.0,36.0,41.0,0.02,rain
19900112,38.0,32.0,43.0,0.0,partlycloudy
19900113,26.0,19.0,30.0,0.0,clear
19900114,20.0,15.0,26.0,0.0,snow
19900115,29.0,21.0,37.0,0.04,snow
19900116,39.0,32.0,46.0,0.0,rain
19900117,43.0,34.0,52.0,0.0,hazy
19900118,52.0,43.0,62.0,0.0,partlysunny
19900119,36.0,30.0,42.0,0.0,partlycloudy
19900120,30.0,26.0,35.0,0.15,snow
19900121,24.0,15.0,33.0,0.74,tstorms
19900122,22.0,14.0,30.0,0.1,snow
19900123,34.0,26.0,41.0,0.0,hazy
19900124,40.0,33.0,46.0,0.07,snow
19900125,40.0,37.0,42.0,0.41,rain
19900126,47.0,37.0,57.0,0.61,rain
19900127,40.0,34.0,45.0,0.0,partlycloudy
19900128,44.0,34.0,53.0,0.0,partlysunny
19900129,36.0,33.0,39.0,0.73,snow
19900130,39.0,33.0,45.0,0.5,snow
19900131,34.0,30.0,39.0,0.0,partlycloudy
19900201,41.0,30.0,52.0,0.0,hazy
19900202,42.0,33.0,50.0,0.44,snow
19900203,28.0,25.0,32.0,0.03,snow
19900204,24.0,17.0,32.0,0.88,snow
19900205,22.0,16.0,28.0,0.0,snow
19900206,34.0,23.0,45.0,0.0,partlycloudy
19900207,38.0,30.0,46.0,0.0,hazy
19900208,40.0,30.0,51.0,0.0,clear
19900209,48.0,37.0,60.0,0.0,partlysunny
19900210,47.0,36.0,57.0,0.16,rain
19900211,36.0,30.0,42.0,0.0,mostlysunny
19900212,33.0,27.0,39.0,0.0,partlycloudy
19900213,36.0,28.0,45.0,0.0,partlysunny
19900214,46.0,36.0,55.0,0.0,mostlycloudy
19900215,30.0,27.0,34.0,0.44,snow
19900216,30.0,26.0,35.0,0.46,snow
19900217,33.0,21.0,42.0,0.02,rain
19900218,24.0,15.0,34.0,0.0,mostlysunny
19900219,40.0,30.0,50.0,0.0,partlycloudy
19900220,24.0,19.0,30.0,0.0,clear
19900221,32.0,19.0,46.0,0.0,clear
19900222,49.0,36.0,62.0,0.14,rain
19900223,58.0,51.0,64.0,0.06,rain
19900224,38.0,26.0,51.0,0.62,snow
19900225,20.0,10.0,28.0,0.2,snow
19900226,10.0,3.0,18.0,0.0,clear
19900227,22.0,12.0,32.0,0.04,snow
19900228,28.0,23.0,32.0,0.0,mostlysunny
19900301,28.0,21.0,35.0,0.0,partlycloudy
19900302,44.0,34.0,53.0,0.0,mostlysunny
19900303,44.0,36.0,50.0,0.0,hazy
19900304,32.0,24.0,37.0,0.0,hazy
19900305,26.0,17.0,35.0,0.0,mostlysunny
19900306,23.0,17.0,27.0,0.08,snow
19900307,22.0,12.0,32.0,0.0,clear
19900308,30.0,18.0,42.0,0.0,clear
19900309,38.0,30.0,45.0,0.0,clear
19900310,42.0,30.0,55.0,0.0,partlycloudy
19900311,54.0,42.0,66.0,0.0,partlysunny
19900312,44.0,37.0,50.0,0.14,rain
19900313,55.0,37.0,73.0,0.0,hazy
19900314,42.0,39.0,44.0,0.0,hazy
19900315,56.0,41.0,72.0,0.0,hazy
19900316,50.0,39.0,60.0,0.0,hazy
19900317,62.0,55.0,70.0,0.06,rain
19900318,50.0,41.0,59.0,0.34,rain
19900319,45.0,37.0,53.0,0.0,rain
19900320,42.0,39.0,46.0,0.4,rain
19900321,42.0,37.0,48.0,0.08,rain
19900322,45.0,36.0,54.0,0.28,partlycloudy
19900323,48.0,33.0,63.0,0.69,partlysunny
19900324,33.0,27.0,39.0,0.0,mostlycloudy
19900325,38.0,30.0,46.0,0.0,partlycloudy
19900326,40.0,28.0,51.0,0.0,mostlysunny
19900327,28.0,19.0,37.0,0.0,clear
19900328,36.0,25.0,48.0,0.0,mostlysunny
19900329,32.0,28.0,37.0,0.0,partlycloudy
19900330,34.0,32.0,37.0,0.47,snow
19900331,37.0,35.0,39.0,0.0,rain
19900401,37.0,35.0,39.0,0.0,cloudy
19900402,39.0,37.0,41.0,0.0,rain
19900403,39.0,39.0,39.0,1.72,rain
19900404,44.0,39.0,48.0,0.94,rain
19900405,48.0,41.0,55.0,0.0,rain
19900406,46.0,39.0,52.0,0.0,mostlycloudy
19900407,38.0,30.0,46.0,0.08,snow
19900408,38.0,32.0,45.0,0.0,partlycloudy
19900409,47.0,37.0,57.0,0.0,mostlysunny
19900410,53.0,46.0,60.0,0.01,rain
19900411,50.0,41.0,57.0,0.25,rain
19900412,40.0,35.0,46.0,0.0,mostlysunny
19900413,38.0,30.0,46.0,0.0,mostlysunny
19900414,44.0,34.0,55.0,0.0,partlycloudy
19900415,48.0,42.0,53.0,1.04,rain
19900416,56.0,48.0,64.0,0.0,mostlysunny
19900417,49.0,42.0,55.0,0.2,rain
19900418,42.0,35.0,48.0,0.0,mostlysunny
19900419,45.0,35.0,55.0,0.0,clear
19900420,50.0,42.0,59.0,0.0,mostlycloudy
19900421,52.0,50.0,55.0,0.48,rain
19900422,50.0,46.0,54.0,0.0,hazy
