date,temperature,min_temperature,max_temperature,precip,icon
19900101,50.0,41.0,60.0,0.0,rain
19900102,52.0,48.0,57.0,0.0,rain
19900103,50.0,39.0,60.0,0.0,mostlysunny
19900104,53.0,37.0,69.0,0.0,clear
19900105,59.0,46.0,72.0,0.0,mostlysunny
19900106,58.0,43.0,72.0,0.0,mostlysunny
19900107,54.0,42.0,66.0,0.0,partlysunny
19900108,58.0,44.0,71.0,0.0,hazy
19900109,64.0,46.0,82.0,0.0,hazy
19900110,66.0,51.0,81.0,0.0,hazy
19900111,60.0,48.0,73.0,0.0,hazy
19900112,56.0,48.0,64.0,0.0,rain
19900113,58.0,55.0,60.0,0.0,rain
19900114,54.0,46.0,61.0,0.0,tstorms
19900115,50.0,45.0,55.0,0.0,rain
19900116,48.0,43.0,54.0,0.0,rain
19900117,48.0,42.0,55.0,0.0,partlysunny
19900118,52.0,42.0,61.0,0.0,partlycloudy
19900119,48.0,39.0,57.0,0.0,partlycloudy
19900120,52.0,39.0,64.0,0.0,clear
19900121,54.0,39.0,68.0,0.0,mostlysunny
19900122,60.0,46.0,75.0,0.0,mostlysunny
19900123,60.0,44.0,75.0,0.0,clear
19900124,62.0,46.0,78.0,0.0,mostlysunny
19900125,60.0,46.0,75.0,0.0,clear
19900126,58.0,44.0,73.0,0.0,partlycloudy
19900127,59.0,45.0,73.0,0.0,clear
19900128,58.0,41.0,75.0,0.0,clear
19900129,59.0,43.0,75.0,0.0,mostlysunny
19900130,52.0,45.0,60.0,0.0,rain
19900131,55.0,46.0,64.0,0.0,mostlysunny
19900201,49.0,41.0,57.0,0.0,rain
19900202,56.0,48.0,64.0,0.0,clear
19900203,52.0,39.0,64.0,0.0,partlycloudy
19900204,50.0,44.0,55.0,0.4,rain
19900205,50.0,39.0,62.0,0.0,mostlysunny
19900206,52.0,41.0,64.0,0.0,partlycloudy
19900207,52.0,46.0,57.0,0.0,partlysunny
19900208,55.0,46.0,64.0,0.0,mostlysunny
19900209,52.0,39.0,66.0,0.0,hazy
19900210,57.0,41.0,73.0,0.0,clear
19900211,64.0,46.0,81.0,0.0,partlycloudy
19900212,58.0,52.0,64.0,0.0,hazy
19900213,54.0,48.0,60.0,0.0,rain
19900214,44.0,37.0,50.0,0.0,mostlysunny
19900215,44.0,36.0,53.0,0.0,partlycloudy
19900216,42.0,35.0,50.0,0.3,rain
19900217,49.0,45.0,53.0,1.1,rain
19900218,48.0,41.0,54.0,0.2,rain
19900219,50.0,41.0,60.0,0.0,clear
19900220,51.0,36.0,66.0,0.0,partlycloudy
19900221,54.0,39.0,69.0,0.0,partlysunny
19900222,62.0,46.0,79.0,0.0,partlycloudy
19900223,66.0,50.0,82.0,0.0,partlycloudy
19900224,66.0,51.0,81.0,0.0,partlysunny
19900225,64.0,54.0,75.0,0.0,mostlycloudy
19900226,62.0,51.0,73.0,0.0,partlysunny
19900227,60.0,48.0,72.0,0.0,hazy
19900228,60.0,50.0,70.0,0.0,hazy
19900301,57.0,48.0,66.0,0.0,hazy
19900302,59.0,54.0,64.0,0.0,hazy
19900303,59.0,52.0,66.0,0.0,hazy
19900304,56.0,52.0,61.0,0.0,hazy
19900305,54.0,45.0,62.0,0.0,mostlysunny
19900306,54.0,43.0,66.0,0.0,clear
19900307,58.0,44.0,73.0,0.0,partlycloudy
19900308,55.0,46.0,64.0,0.0,hazy
19900309,56.0,52.0,60.0,0.0,hazy
19900310,54.0,46.0,63.0,0.0,rain
19900311,53.0,46.0,60.0,0.0,rain
19900312,47.0,39.0,55.0,0.0,rain
19900313,50.0,37.0,63.0,0.0,mostlysunny
19900314,52.0,41.0,64.0,0.0,partlycloudy
19900315,61.0,45.0,77.0,0.0,mostlysunny
19900316,65.0,50.0,80.0,0.0,partlysunny
19900317,65.0,51.0,79.0,0.0,mostlysunny
19900318,63.0,45.0,81.0,0.0,clear
19900319,69.0,54.0,84.0,0.0,partlysunny
19900320,74.0,60.0,87.0,0.0,partlysunny
19900321,70.0,55.0,84.0,0.0,mostlysunny
19900322,66.0,53.0,79.0,0.0,hazy
19900323,66.0,54.0,78.0,0.0,hazy
19900324,62.0,53.0,70.0,0.0,hazy
19900325,61.0,53.0,69.0,0.0,hazy
19900326,60.0,48.0,72.0,0.0,hazy
19900327,56.0,54.0,57.0,0.0,hazy
19900328,53.0,51.0,55.0,0.0,hazy
19900329,55.0,48.0,62.0,0.0,mostlycloudy
19900330,57.0,51.0,63.0,0.0,mostlycloudy
19900331,56.0,46.0,66.0,0.0,mostlysunny
19900401,58.0,50.0,66.0,0.0,rain
19900402,62.0,50.0,73.0,0.0,hazy
19900403,66.0,53.0,78.0,0.0,partlysunny
19900404,67.0,57.0,77.0,0.2,rain
19900405,60.0,55.0,66.0,0.0,hazy
19900406,58.0,54.0,61.0,0.0,hazy
19900407,60.0,55.0,66.0,0.0,hazy
19900408,60.0,52.0,69.0,0.0,partlycloudy
19900409,64.0,50.0,77.0,0.0,clear
19900410,70.0,52.0,88.0,0.0,partlycloudy
19900411,70.0,57.0,84.0,0.0,mostlysunny
19900412,71.0,55.0,87.0,0.0,mostlysunny
19900413,68.0,57.0,79.0,0.0,hazy
19900414,65.0,55.0,75.0,0.0,hazy
19900415,62.0,55.0,68.0,0.0,mostlycloudy
19900416,58.0,55.0,60.0,0.5,rain
19900417,61.0,51.0,71.0,0.0,rain
19900418,60.0,51.0,70.0,0.0,hazy
19900419,63.0,55.0,71.0,0.0,hazy
19900420,66.0,57.0,75.0,0.0,hazy
19900421,64.0,55.0,72.0,0.0,hazy
19900422,62.0,55.0,68.0,0.0,mostlycloudy
19900423,57.0,54.0,60.0,0.0,hazy
19900424,64.0,50.0,77.0,0.0,mostlysunny
19900425,64.0,51.0,78.0,0.0,partlycloudy
19900426,68.0,55.0,80.0,0.0,mostlysunny
19900427,68.0,55.0,82.0,0.0,mostlysunny
19900428,68.0,60.0,75.0,0.0,hazy
19900429,64.0,57.0,72.0,0.0,hazy
19900430,59.0,55.0,63.0,0.0,rain
19900501,62.0,50.0,75.0,0.0,mostlysunny
19900502,62.0,52.0,73.0,0.0,partlycloudy
19900503,66.0,57.0,75.0,0.0,tstorms
19900504,75.0,55.0,95.0,0.0,clear
19900505,80.0,61.0,99.0,0.0,clear
19900506,82.0,66.0,98.0,0.0,mostlysunny
19900507,72.0,62.0,81.0,0.0,hazy
19900508,65.0,57.0,73.0,0.0,hazy
19900509,64.0,57.0,72.0,0.0,hazy
19900510,60.0,54.0,66.0,0.0,mostlycloudy
19900511,61.0,53.0,69.0,0.0,partlysunny
19900512,64.0,57.0,72.0,0.0,partlycloudy
19900513,64.0,54.0,73.0,0.0,hazy
19900514,58.0,57.0,61.0,0.0,hazy
19900515,66.0,60.0,72.0,0.0,partlycloudy
19900516,64.0,53.0,75.0,0.0,partlycloudy
19900517,63.0,54.0,72.0,0.0,hazy
19900518,64.0,55.0,72.0,0.0,partlycloudy
19900519,62.0,54.0,69.0,0.0,partlysunny
19900520,63.0,54.0,72.0,0.0,mostlysunny
19900521,66.0,57.0,75.0,0.0,partlycloudy
19900522,72.0,61.0,84.0,0.0,clear
19900523,70.0,60.0,80.0,0.0,partlycloudy
19900524,69.0,63.0,75.0,0.0,mostlysunny
19900525,67.0,59.0,75.0,0.0,mostlysunny
19900526,64.0,55.0,73.0,0.0,partlycloudy
19900527,63.0,57.0,69.0,0.0,partlysunny
19900528,66.0,59.0,73.0,0.7,rain
19900529,64.0,59.0,68.0,0.0,mostlycloudy
19900530,63.0,55.0,71.0,0.0,hazy
19900531,63.0,55.0,71.0,0.0,partlysunny
19900601,65.0,55.0,75.0,0.0,clear
19900602,76.0,60.0,91.0,0.0,clear
19900603,82.0,66.0,99.0,0.0,clear
19900604,80.0,66.0,93.0,0.0,clear
19900605,75.0,64.0,84.0,0.0,clear
19900606,70.0,60.0,80.0,0.0,hazy
19900607,76.0,66.0,87.0,0.0,partlysunny
19900608,80.0,68.0,93.0,0.0,hazy
19900609,72.0,64.0,77.0,0.0,rain
19900610,71.0,63.0,79.0,0.0,partlysunny
19900611,72.0,64.0,79.0,0.0,mostlysunny
19900612,67.0,59.0,75.0,0.0,clear
19900613,64.0,60.0,69.0,0.0,mostlycloudy
19900614,63.0,57.0,69.0,0.0,partlysunny
19900615,62.0,54.0,69.0,0.0,partlysunny
19900616,64.0,52.0,77.0,0.0,mostlysunny
19900617,65.0,57.0,73.0,0.0,mostlysunny
19900618,68.0,57.0,80.0,0.0,hazy
19900619,72.0,59.0,84.0,0.0,clear
19900620,74.0,62.0,86.0,0.0,clear
19900621,72.0,62.0,82.0,0.0,hazy
19900622,71.0,60.0,82.0,0.0,hazy
19900623,72.0,57.0,88.0,0.0,clear
19900624,76.0,60.0,93.0,0.0,clear
19900625,83.0,64.0,102.0,0.0,clear
19900626,90.0,71.0,109.0,0.0,clear
19900627,94.0,75.0,107.0,0.0,clear
19900628,80.0,68.0,93.0,0.0,clear
19900629,74.0,63.0,86.0,0.0,hazy
19900630,78.0,64.0,91.0,0.0,partlycloudy
19900701,78.0,66.0,89.0,0.0,mostlysunny
19900702,74.0,62.0,86.0,0.0,mostlysunny
19900703,74.0,63.0,84.0,0.0,clear
19900704,74.0,61.0,87.0,0.0,clear
19900705,77.0,64.0,90.0,0.0,clear
19900706,76.0,64.0,88.0,0.0,clear
19900707,72.0,63.0,82.0,0.0,hazy
19900708,71.0,63.0,79.0,0.0,hazy
19900709,72.0,61.0,84.0,0.0,hazy
19900710,81.0,64.0,98.0,0.0,partlycloudy
19900711,88.0,77.0,99.0,0.0,partlysunny
19900712,85.0,73.0,97.0,0.0,partlysunny
19900713,86.0,75.0,98.0,0.0,partlycloudy
19900714,83.0,73.0,93.0,0.0,mostlysunny
19900715,78.0,69.0,86.0,0.0,mostlysunny
19900716,76.0,68.0,84.0,0.0,partlycloudy
19900717,76.0,66.0,87.0,0.0,hazy
19900718,79.0,68.0,90.0,0.0,clear
19900719,82.0,70.0,93.0,0.0,clear
19900720,82.0,70.0,93.0,0.0,clear
19900721,75.0,63.0,87.0,0.0,clear
19900722,79.0,68.0,90.0,0.0,hazy
19900723,76.0,66.0,87.0,0.0,hazy
19900724,73.0,64.0,82.0,0.0,hazy
19900725,72.0,66.0,79.0,0.0,partlycloudy
19900726,72.0,62.0,82.0,0.0,clear
19900727,74.0,61.0,87.0,0.0,clear
19900728,74.0,60.0,89.0,0.0,clear
19900729,76.0,61.0,91.0,0.0,mostlysunny
19900730,80.0,64.0,97.0,0.0,partlycloudy
19900731,76.0,64.0,88.0,0.0,clear
19900801,72.0,61.0,82.0,0.0,hazy
19900802,73.0,64.0,82.0,0.0,hazy
19900803,72.0,63.0,80.0,0.0,hazy
19900804,74.0,62.0,87.0,0.0,hazy
19900805,75.0,60.0,90.0,0.0,tstorms
19900806,82.0,70.0,93.0,0.3,tstorms
19900807,82.0,69.0,95.0,0.0,hazy
19900808,80.0,66.0,93.0,0.0,hazy
19900809,77.0,66.0,88.0,0.0,hazy
19900810,78.0,66.0,89.0,0.0,hazy
19900811,80.0,66.0,95.0,0.0,mostlysunny
19900812,80.0,68.0,91.0,0.0,mostlysunny
19900813,72.0,66.0,78.0,0.0,hazy
19900814,70.0,66.0,73.0,0.0,hazy
19900815,68.0,64.0,73.0,0.0,rain
19900816,68.0,57.0,80.0,0.0,partlycloudy
19900817,72.0,62.0,82.0,0.1,clear
19900818,73.0,64.0,82.0,0.0,hazy
19900819,72.0,66.0,77.0,0.0,hazy
19900820,71.0,64.0,78.0,0.0,partlycloudy
19900821,71.0,60.0,82.0,0.0,clear
19900822,68.0,55.0,82.0,0.0,clear
19900823,72.0,64.0,80.0,0.0,hazy
19900824,68.0,62.0,75.0,0.0,partlysunny
19900825,69.0,61.0,77.0,0.0,partlycloudy
19900826,68.0,57.0,79.0,0.0,mostlysunny
19900827,73.0,57.0,89.0,0.0,clear
19900828,78.0,62.0,93.0,0.0,clear
19900829,78.0,66.0,91.0,0.0,clear
19900830,76.0,64.0,89.0,0.0,hazy
19900831,72.0,63.0,82.0,0.0,clear
19900901,72.0,61.0,84.0,0.0,clear
19900902,74.0,61.0,87.0,0.0,clear
19900903,75.0,59.0,91.0,0.0,clear
19900904,78.0,64.0,93.0,0.0,clear
19900905,78.0,66.0,91.0,0.0,mostlysunny
19900906,81.0,69.0,93.0,0.0,clear
19900907,78.0,57.0,99.0,0.0,clear
19900908,83.0,69.0,97.0,0.0,clear
19900909,83.0,68.0,98.0,0.0,clear
19900910,82.0,64.0,100.0,0.0,clear
19900911,83.0,66.0,100.0,0.0,mostlysunny
19900912,82.0,66.0,97.0,0.0,clear
19900913,78.0,66.0,90.0,0.0,clear
19900914,76.0,66.0,87.0,0.0,hazy
19900915,74.0,61.0,87.0,0.0,clear
19900916,68.0,57.0,80.0,0.0,clear
19900917,71.0,64.0,78.0,0.0,hazy
19900918,70.0,66.0,75.0,0.0,hazy
19900919,68.0,64.0,71.0,0.0,mostlycloudy
19900920,70.0,64.0,75.0,0.0,mostlycloudy
19900921,70.0,66.0,75.0,0.0,partlysunny
19900922,72.0,63.0,80.0,0.0,partlycloudy
19900923,70.0,62.0,77.0,0.0,mostlysunny
19900924,71.0,63.0,79.0,0.0,clear
19900925,70.0,57.0,82.0,0.0,hazy
19900926,70.0,59.0,81.0,0.0,partlycloudy
19900927,67.0,59.0,75.0,0.0,mostlysunny
19900928,70.0,64.0,75.0,0.0,partlysunny
19900929,68.0,60.0,75.0,0.0,hazy
19900930,74.0,61.0,87.0,0.0,hazy
19901001,71.0,62.0,80.0,0.0,hazy
19901002,68.0,64.0,73.0,0.0,hazy
19901003,74.0,60.0,89.0,0.0,mostlysunny
19901004,80.0,62.0,98.0,0.0,clear
19901005,74.0,62.0,86.0,0.0,mostlysunny
19901006,65.0,55.0,75.0,0.0,hazy
19901007,70.0,64.0,75.0,0.0,partlycloudy
19901008,73.0,57.0,89.0,0.0,clear
19901009,76.0,61.0,90.0,0.0,clear
