date,temperature,temperature_normal,min_temperature,min_temperature_normal,min_temperature_record,max_temperature,max_temperature_normal,max_temperature_record,precip,precipnormal,preciprecord
19900101,41,None,36,None,-14,46,None,69,0.2,None,1.52
19900102,37,None,28,None,-1,46,None,71,0.0,None,1.44
19900103,40,None,30,None,-3,50,None,68,0.0,None,1.87
19900104,42,None,29,None,-3,55,None,73,0.06,None,2.28
19900105,46,None,42,None,-3,51,None,71,0.0,None,1.44
19900106,42,None,34,None,2,48,None,73,0.04,None,1.35
19900107,36,None,28,None,5,43,None,76,0.0,None,1.33
19900108,34,None,32,None,0,37,None,73,0.52,None,2.21
19900109,38,None,31,None,4,45,None,76,0.0,None,1.87
19900110,44,None,37,None,-3,51,None,70,0.01,None,0.81
19900111,42,None,32,None,2,53,None,75,0.0,None,1.72
19900112,40,None,32,None,3,48,None,76,0.0,None,2.77
19900113,34,None,28,None,-8,39,None,75,0.0,None,1.26
19900114,36,None,26,None,-13,46,None,76,0.0,None,1.82
19900115,44,None,37,None,4,52,None,77,0.02,None,1.18
19900116,48,None,33,None,2,63,None,73,0.0,None,1.0
19900117,50,None,37,None,-5,64,None,74,0.0,None,1.09
19900118,60,None,53,None,-6,68,None,69,0.0,None,1.3
19900119,44,None,39,None,-4,50,None,71,0.0,None,1.41
19900120,40,None,36,None,-2,45,None,70,0.11,None,1.77
19900121,52,None,44,None,-4,60,None,70,0.0,None,1.41
19900122,44,None,36,None,1,52,None,76,0.0,None,1.49
19900123,44,None,36,None,0,53,None,72,0.0,None,1.79
19900124,53,None,46,None,3,0,None,73,0.01,None,1.34
19900125,52,None,48,None,3,57,None,75,0.89,None,1.66
19900126,46,None,34,None,5,57,None,79,0.47,None,1.52
19900127,40,None,30,None,6,51,None,75,0.0,None,0.99
19900128,49,None,37,None,-2,61,None,73,0.0,None,2.15
19900129,44,None,41,None,2,48,None,76,0.56,None,1.02
19900130,46,None,41,None,-6,50,None,77,0.0,None,0.97
19900131,45,None,35,None,-2,55,None,71,0.0,None,1.18
19900201,46,None,34,None,6,59,None,77,0.0,None,2.05
19900202,59,None,46,None,2,72,None,72,0.0,None,2.11
19900203,48,None,43,None,0,54,None,65,0.22,None,1.48
19900204,44,None,39,None,2,48,None,70,0.06,None,2.02
19900205,39,None,30,None,-2,48,None,74,0.0,None,0.8
19900206,46,None,34,None,1,59,None,74,0.0,None,2.29
19900207,50,None,44,None,3,55,None,73,0.04,None,1.29
19900208,48,None,39,None,0,57,None,74,0.0,None,1.63
19900209,55,None,46,None,-7,64,None,70,0.01,None,1.92
19900210,51,None,37,None,-8,63,None,68,0.46,None,1.06
19900211,40,None,32,None,-15,48,None,76,0.02,None,1.91
19900212,41,None,36,None,4,46,None,74,0.0,None,1.37
19900213,49,None,34,None,2,64,None,72,0.0,None,1.77
19900214,60,None,46,None,4,72,None,73,0.0,None,0.98
19900215,47,None,42,None,-6,52,None,77,0.01,None,1.38
19900216,56,None,46,None,5,66,None,75,0.07,None,2.14
19900217,49,None,34,None,5,63,None,79,0.0,None,0.91
19900218,38,None,30,None,3,45,None,77,0.0,None,1.1
19900219,52,None,42,None,4,63,None,74,0.0,None,1.67
19900220,38,None,32,None,5,44,None,78,0.0,None,1.45
19900221,40,None,28,None,7,52,None,82,0.0,None,1.44
19900222,50,None,41,None,9,60,None,77,0.31,None,2.27
19900223,56,None,48,None,11,64,None,78,0.08,None,1.34
19900224,42,None,35,None,1,48,None,78,0.0,None,1.67
19900225,26,None,19,None,-1,32,None,84,0.0,None,1.19
19900226,22,None,14,None,12,30,None,74,0.0,None,1.21
19900227,31,None,23,None,8,39,None,77,0.01,None,0.91
19900228,41,None,31,None,-1,51,None,82,0.0,None,1.13
19900301,38,None,30,None,13,45,None,80,0.0,None,0.92
19900302,41,None,34,None,13,50,None,77,0.05,None,1.65
19900303,53,None,44,None,11,60,None,79,0.01,None,1.75
19900304,36,None,28,None,4,43,None,82,0.0,None,1.24
19900305,42,None,30,None,6,53,None,83,0.0,None,1.52
19900306,44,None,34,None,10,51,None,81,0.0,None,1.52
19900307,30,None,22,None,13,39,None,77,0.0,None,1.32
