date,temperature,min_temperature,max_temperature,precip,icon
19900101,41.0,36.0,46.0,0.2,rain
19900102,37.0,28.0,46.0,0.0,clear
19900103,40.0,30.0,50.0,0.0,partlycloudy
19900104,42.0,29.0,55.0,0.06,rain
19900105,46.0,42.0,51.0,0.0,hazy
19900106,42.0,34.0,48.0,0.04,rain
19900107,36.0,28.0,43.0,0.0,mostlycloudy
19900108,34.0,32.0,37.0,0.52,snow
19900109,38.0,31.0,45.0,0.0,hazy
19900110,44.0,37.0,51.0,0.01,rain
19900111,42.0,32.0,53.0,0.0,partlysunny
19900112,40.0,32.0,48.0,0.0,partlysunny
19900113,34.0,28.0,39.0,0.0,mostlysunny
19900114,36.0,26.0,46.0,0.0,partlysunny
19900115,44.0,37.0,52.0,0.02,snow
19900116,48.0,33.0,63.0,0.0,partlycloudy
19900117,50.0,37.0,64.0,0.0,hazy
19900118,60.0,53.0,68.0,0.0,rain
19900119,44.0,39.0,50.0,0.0,rain
19900120,40.0,36.0,45.0,0.11,rain
19900121,52.0,44.0,60.0,0.0,rain
19900122,44.0,36.0,52.0,0.0,partlysunny
19900123,44.0,36.0,53.0,0.0,partlysunny
19900124,53.0,46.0,0.0,0.01,rain
19900125,52.0,48.0,57.0,0.89,rain
19900126,46.0,34.0,57.0,0.47,snow
19900127,40.0,30.0,51.0,0.0,partlycloudy
19900128,49.0,37.0,61.0,0.0,partlysunny
19900129,44.0,41.0,48.0,0.56,rain
19900130,46.0,41.0,50.0,0.0,partlysunny
19900131,45.0,35.0,55.0,0.0,mostlysunny
19900201,46.0,34.0,59.0,0.0,hazy
19900202,59.0,46.0,72.0,0.0,mostlycloudy
19900203,48.0,43.0,54.0,0.22,rain
19900204,44.0,39.0,48.0,0.06,rain
19900205,39.0,30.0,48.0,0.0,clear
19900206,46.0,34.0,59.0,0.0,partlycloudy
19900207,50.0,44.0,55.0,0.04,rain
19900208,48.0,39.0,57.0,0.0,hazy
19900209,55.0,46.0,64.0,0.01,rain
19900210,51.0,37.0,63.0,0.46,rain
19900211,40.0,32.0,48.0,0.02,rain
19900212,41.0,36.0,46.0,0.0,mostlysunny
19900213,49.0,34.0,64.0,0.0,partlysunny
19900214,60.0,46.0,72.0,0.0,mostlycloudy
19900215,47.0,42.0,52.0,0.01,rain
19900216,56.0,46.0,66.0,0.07,rain
19900217,49.0,34.0,63.0,0.0,mostlysunny
19900218,38.0,30.0,45.0,0.0,partlysunny
19900219,52.0,42.0,63.0,0.0,rain
19900220,38.0,32.0,44.0,0.0,partlycloudy
19900221,40.0,28.0,52.0,0.0,mostlysunny
19900222,50.0,41.0,60.0,0.31,rain
19900223,56.0,48.0,64.0,0.08,tstorms
19900224,42.0,35.0,48.0,0.0,rain
19900225,26.0,19.0,32.0,0.0,snow
19900226,22.0,14.0,30.0,0.0,clear
19900227,31.0,23.0,39.0,0.01,snow
