date,temperature,temperature_normal,min_temperature,min_temperature_normal,min_temperature_record,max_temperature,max_temperature_normal,max_temperature_record,precip,precipnormal,preciprecord
19900101,47,None,39,None,25,55,None,82,0.02,None,3.61
19900102,50,None,46,None,16,54,None,82,0.0,None,1.64
19900103,61,None,54,None,19,68,None,82,0.51,None,1.77
19900104,61,None,53,None,22,68,None,78,0.01,None,1.86
19900105,50,None,48,None,25,53,None,81,0.21,None,1.35
19900106,50,None,48,None,25,51,None,80,0.93,None,2.13
19900107,52,None,44,None,19,59,None,79,0.03,None,2.27
19900108,54,None,39,None,21,68,None,80,0.0,None,0.93
19900109,60,None,46,None,21,75,None,83,0.0,None,4.06
19900110,62,None,50,None,17,73,None,83,0.0,None,1.35
19900111,64,None,54,None,15,73,None,80,0.01,None,1.96
19900112,56,None,48,None,17,64,None,80,0.0,None,2.17
19900113,47,None,39,None,23,55,None,81,0.0,None,2.09
19900114,62,None,51,None,19,72,None,84,0.0,None,1.88
19900115,68,None,60,None,25,75,None,79,0.0,None,1.35
19900116,67,None,61,None,25,73,None,82,0.01,None,1.84
19900117,72,None,69,None,19,75,None,80,0.02,None,2.38
19900118,73,None,69,None,20,77,None,81,0.03,None,2.24
19900119,66,None,60,None,12,73,None,81,0.36,None,3.41
19900120,56,None,53,None,19,60,None,82,0.04,None,2.3
19900121,57,None,48,None,20,66,None,81,0.0,None,3.97
19900122,56,None,43,None,18,70,None,82,0.0,None,2.35
19900123,60,None,48,None,5,71,None,85,0.0,None,1.42
19900124,64,None,57,None,17,71,None,83,0.51,None,2.3
19900125,52,None,44,None,24,59,None,82,0.0,None,0.93
19900126,52,None,37,None,24,66,None,83,0.0,None,1.56
19900127,65,None,57,None,18,73,None,83,0.0,None,4.1
19900128,59,None,48,None,26,68,None,82,0.88,None,0.94
19900129,51,None,42,None,25,60,None,81,0.0,None,2.14
19900130,58,None,46,None,12,71,None,82,0.0,None,1.7
19900131,62,None,54,None,10,71,None,83,0.0,None,1.92
19900201,66,None,59,None,15,72,None,81,0.5,None,3.88
19900202,68,None,60,None,14,75,None,82,10.0,None,0.94
19900203,60,None,48,None,19,73,None,81,0.47,None,2.4
19900204,52,None,41,None,24,62,None,81,0.0,None,2.6
19900205,48,None,42,None,24,55,None,84,0.0,None,2.27
19900206,60,None,55,None,25,66,None,81,0.02,None,1.83
19900207,62,None,57,None,26,68,None,85,0.0,None,1.96
19900208,67,None,61,None,15,73,None,86,0.39,None,1.02
19900209,68,None,62,None,17,73,None,87,0.31,None,3.71
19900210,58,None,52,None,26,64,None,85,0.0,None,2.24
19900211,58,None,44,None,20,72,None,83,0.0,None,1.84
19900212,60,None,46,None,25,73,None,85,0.0,None,3.54
19900213,66,None,57,None,26,75,None,84,0.0,None,0.99
19900214,70,None,66,None,27,73,None,81,0.0,None,1.8
19900215,74,None,69,None,31,80,None,84,0.31,None,1.05
19900216,62,None,54,None,28,68,None,83,0.04,None,1.42
19900217,50,None,48,None,28,53,None,84,0.0,None,0.87
19900218,50,None,46,None,21,53,None,87,0.22,None,2.57
19900219,58,None,52,None,26,64,None,87,0.0,None,0.48
19900220,57,None,50,None,32,64,None,85,0.0,None,1.78
19900221,60,None,52,None,27,66,None,86,0.54,None,2.56
19900222,57,None,45,None,24,69,None,86,0.0,None,1.81
19900223,56,None,43,None,30,69,None,86,0.0,None,2.88
19900224,60,None,46,None,26,75,None,84,0.0,None,2.68
19900225,60,None,48,None,26,73,None,83,0.0,None,1.69
19900226,62,None,55,None,27,70,None,86,0.0,None,1.51
19900227,65,None,57,None,25,73,None,87,0.0,None,0.71
19900228,64,None,55,None,29,71,None,84,1.14,None,1.35
19900301,50,None,46,None,29,54,None,85,0.21,None,2.94
19900302,50,None,44,None,24,57,None,83,0.0,None,1.35
19900303,55,None,44,None,22,66,None,86,0.0,None,1.78
19900304,58,None,46,None,27,69,None,81,0.0,None,1.28
19900305,62,None,53,None,27,72,None,86,0.0,None,4.79
19900306,67,None,62,None,26,72,None,85,0.01,None,1.47
19900307,71,None,69,None,29,73,None,87,0.02,None,1.28
19900308,74,None,68,None,31,79,None,87,0.0,None,0.97
19900309,74,None,68,None,27,79,None,86,0.0,None,2.91
19900310,73,None,69,None,28,77,None,89,0.0,None,1.03
19900311,74,None,70,None,28,77,None,87,0.0,None,1.15
19900312,70,None,66,None,26,75,None,87,0.43,None,1.86
19900313,72,None,68,None,25,75,None,89,0.1,None,1.93
19900314,65,None,57,None,29,73,None,88,0.15,None,3.09
19900315,58,None,53,None,37,64,None,90,0.05,None,1.66
19900316,60,None,52,None,34,69,None,85,0.0,None,2.28
19900317,62,None,50,None,37,75,None,87,0.0,None,5.0
19900318,62,None,48,None,34,75,None,89,0.0,None,2.01
19900319,62,None,53,None,25,72,None,86,0.0,None,4.46
19900320,56,None,45,None,29,66,None,84,0.0,None,1.71
19900321,57,None,44,None,34,70,None,84,0.0,None,1.59
19900322,64,None,53,None,33,75,None,90,0.0,None,1.46
19900323,66,None,57,None,34,75,None,89,0.0,None,2.66
19900324,70,None,62,None,36,77,None,85,0.0,None,2.35
19900325,62,None,54,None,37,71,None,88,0.0,None,1.77
19900326,60,None,54,None,31,66,None,88,0.0,None,3.45
19900327,60,None,53,None,31,66,None,88,0.0,None,2.04
19900328,66,None,61,None,33,71,None,91,0.75,None,1.76
19900329,66,None,60,None,35,72,None,91,1.28,None,1.8
19900330,68,None,61,None,35,75,None,96,0.73,None,1.57
19900331,68,None,60,None,32,77,None,88,0.0,None,2.5
19900401,70,None,66,None,35,75,None,89,0.02,None,2.61
19900402,72,None,66,None,39,78,None,88,0.11,None,1.56
19900403,64,None,55,None,34,73,None,88,0.0,None,1.44
19900404,66,None,55,None,39,77,None,87,0.0,None,2.94
19900405,70,None,59,None,40,80,None,90,0.0,None,2.99
19900406,62,None,53,None,41,69,None,86,0.23,None,3.68
19900407,55,None,46,None,35,64,None,90,0.0,None,1.55
19900408,60,None,51,None,34,69,None,90,0.0,None,5.38
19900409,70,None,64,None,38,77,None,92,0.0,None,3.08
19900410,72,None,64,None,37,78,None,93,0.25,None,0.9
19900411,64,None,55,None,38,72,None,91,0.0,None,1.97
19900412,63,None,55,None,38,71,None,89,0.0,None,1.94
19900413,65,None,57,None,32,73,None,91,0.01,None,2.23
19900414,67,None,59,None,37,75,None,89,0.57,None,5.18
19900415,66,None,54,None,37,77,None,90,0.0,None,1.68
19900416,72,None,62,None,39,81,None,92,0.0,None,1.94
19900417,73,None,64,None,43,82,None,90,0.0,None,4.5
19900418,66,None,62,None,46,71,None,91,0.0,None,5.16
19900419,72,None,66,None,40,78,None,88,0.0,None,1.77
19900420,76,None,71,None,42,82,None,91,0.0,None,3.62
19900421,74,None,66,None,46,82,None,87,0.0,None,1.54
19900422,76,None,68,None,38,84,None,90,0.0,None,1.78
19900423,74,None,66,None,45,82,None,91,0.0,None,1.11
19900424,76,None,68,None,49,84,None,90,0.0,None,4.72
19900425,78,None,73,None,46,82,None,91,0.0,None,3.9
19900426,72,None,64,None,46,81,None,91,2.56,None,2.56
19900427,73,None,64,None,53,82,None,94,0.04,None,6.2
19900428,69,None,57,None,51,81,None,94,0.0,None,2.68
19900429,78,None,72,None,50,84,None,90,0.0,None,1.74
19900430,80,None,73,None,46,86,None,92,0.0,None,1.12
19900501,78,None,73,None,51,84,None,94,0.0,None,2.1
19900502,78,None,73,None,50,82,None,92,0.0,None,4.36
19900503,76,None,70,None,48,81,None,96,1.09,None,9.48
19900504,70,None,66,None,44,75,None,94,0.0,None,1.91
19900505,66,None,60,None,50,71,None,94,0.0,None,1.63
19900506,69,None,60,None,51,78,None,94,0.0,None,1.67
19900507,69,None,59,None,52,79,None,96,0.0,None,3.38
19900508,70,None,68,None,52,72,None,94,1.23,None,4.26
19900509,75,None,63,None,50,87,None,97,0.0,None,3.36
19900510,72,None,64,None,52,80,None,91,0.0,None,6.35
19900511,74,None,66,None,49,82,None,92,0.0,None,3.6
19900512,78,None,75,None,50,82,None,93,0.01,None,3.44
19900513,80,None,71,None,51,88,None,92,0.0,None,3.6
19900514,82,None,75,None,52,88,None,93,0.0,None,1.01
19900515,82,None,75,None,50,88,None,94,0.0,None,4.38
19900516,82,None,77,None,52,88,None,93,0.0,None,1.72
19900517,82,None,75,None,47,88,None,95,1.04,None,3.28
19900518,80,None,75,None,53,84,None,93,0.0,None,2.54
19900519,80,None,77,None,54,84,None,94,0.0,None,3.07
19900520,83,None,77,None,56,89,None,95,0.0,None,4.21
19900521,84,None,75,None,58,93,None,95,0.0,None,6.33
19900522,79,None,71,None,60,87,None,96,0.39,None,2.73
19900523,74,None,66,None,55,82,None,93,0.0,None,3.58
19900524,80,None,71,None,57,88,None,95,0.0,None,3.5
19900525,80,None,73,None,57,88,None,94,0.0,None,3.95
19900526,80,None,71,None,60,90,None,97,0.0,None,3.24
19900527,83,None,75,None,55,91,None,97,0.0,None,2.64
19900528,81,None,73,None,55,89,None,97,0.13,None,3.36
19900529,78,None,72,None,56,84,None,97,0.0,None,2.35
19900530,83,None,77,None,58,89,None,99,0.0,None,2.86
19900531,87,None,73,None,58,93,None,100,0.0,None,3.99
19900601,82,None,73,None,56,91,None,100,0.0,None,3.89
19900602,86,None,80,None,59,91,None,98,0.0,None,2.91
19900603,85,None,77,None,58,93,None,97,0.0,None,1.99
19900604,85,None,75,None,61,95,None,97,0.0,None,4.86
19900605,84,None,75,None,59,93,None,102,0.0,None,8.53
19900606,85,None,77,None,61,93,None,101,0.0,None,1.86
19900607,84,None,75,None,64,93,None,98,0.0,None,3.22
19900608,84,None,75,None,66,93,None,97,0.0,None,5.03
19900609,84,None,75,None,65,93,None,98,0.0,None,6.49
19900610,84,None,77,None,57,91,None,96,0.0,None,2.3
19900611,83,None,73,None,57,93,None,96,0.0,None,5.9
19900612,83,None,75,None,60,91,None,97,0.0,None,4.46
19900613,84,None,75,None,64,93,None,100,0.02,None,2.07
19900614,86,None,79,None,64,93,None,101,0.11,None,2.38
19900615,86,None,77,None,58,95,None,101,0.0,None,5.75
19900616,85,None,77,None,61,93,None,100,0.0,None,3.62
19900617,85,None,75,None,63,95,None,102,0.0,None,2.43
19900618,86,None,75,None,65,97,None,101,0.0,None,5.63
19900619,88,None,78,None,62,97,None,101,0.0,None,9.29
19900620,86,None,75,None,66,96,None,99,0.0,None,1.45
19900621,86,None,78,None,66,95,None,99,0.0,None,3.32
19900622,86,None,77,None,66,96,None,101,0.0,None,1.55
