date,temperature,min_temperature,max_temperature,precip,icon
19900101,47.0,39.0,55.0,0.02,rain
19900102,50.0,46.0,54.0,0.0,rain
19900103,61.0,54.0,68.0,0.51,tstorms
19900104,61.0,53.0,68.0,0.01,hazy
19900105,50.0,48.0,53.0,0.21,rain
19900106,50.0,48.0,51.0,0.93,rain
19900107,52.0,44.0,59.0,0.03,rain
19900108,54.0,39.0,68.0,0.0,clear
19900109,60.0,46.0,75.0,0.0,mostlysunny
19900110,62.0,50.0,73.0,0.0,hazy
19900111,64.0,54.0,73.0,0.01,hazy
19900112,56.0,48.0,64.0,0.0,hazy
19900113,47.0,39.0,55.0,0.0,partlycloudy
19900114,62.0,51.0,72.0,0.0,mostlycloudy
19900115,68.0,60.0,75.0,0.0,hazy
19900116,67.0,61.0,73.0,0.01,hazy
19900117,72.0,69.0,75.0,0.02,rain
19900118,73.0,69.0,77.0,0.03,rain
19900119,66.0,60.0,73.0,0.36,rain
19900120,56.0,53.0,60.0,0.04,rain
19900121,57.0,48.0,66.0,0.0,partlycloudy
19900122,56.0,43.0,70.0,0.0,partlysunny
19900123,60.0,48.0,71.0,0.0,rain
19900124,64.0,57.0,71.0,0.51,rain
19900125,52.0,44.0,59.0,0.0,partlycloudy
19900126,52.0,37.0,66.0,0.0,mostlysunny
19900127,65.0,57.0,73.0,0.0,cloudy
19900128,59.0,48.0,68.0,0.88,rain
19900129,51.0,42.0,60.0,0.0,partlycloudy
19900130,58.0,46.0,71.0,0.0,partlysunny
19900131,62.0,54.0,71.0,0.0,cloudy
19900201,66.0,59.0,72.0,0.5,tstorms
19900202,68.0,60.0,75.0,10.0,rain
19900203,60.0,48.0,73.0,0.47,tstorms
19900204,52.0,41.0,62.0,0.0,mostlysunny
19900205,48.0,42.0,55.0,0.0,partlysunny
19900206,60.0,55.0,66.0,0.02,rain
19900207,62.0,57.0,68.0,0.0,hazy
19900208,67.0,61.0,73.0,0.39,rain
19900209,68.0,62.0,73.0,0.31,tstorms
19900210,58.0,52.0,64.0,0.0,partlycloudy
19900211,58.0,44.0,72.0,0.0,clear
19900212,60.0,46.0,73.0,0.0,hazy
19900213,66.0,57.0,75.0,0.0,partlysunny
19900214,70.0,66.0,73.0,0.0,rain
19900215,74.0,69.0,80.0,0.31,tstorms
19900216,62.0,54.0,68.0,0.04,tstorms
19900217,50.0,48.0,53.0,0.0,cloudy
19900218,50.0,46.0,53.0,0.22,rain
19900219,58.0,52.0,64.0,0.0,hazy
19900220,57.0,50.0,64.0,0.0,partlysunny
19900221,60.0,52.0,66.0,0.54,tstorms
19900222,57.0,45.0,69.0,0.0,hazy
19900223,56.0,43.0,69.0,0.0,clear
19900224,60.0,46.0,75.0,0.0,clear
19900225,60.0,48.0,73.0,0.0,clear
19900226,62.0,55.0,70.0,0.0,partlysunny
19900227,65.0,57.0,73.0,0.0,hazy
19900228,64.0,55.0,71.0,1.14,tstorms
19900301,50.0,46.0,54.0,0.21,rain
19900302,50.0,44.0,57.0,0.0,hazy
19900303,55.0,44.0,66.0,0.0,mostlysunny
19900304,58.0,46.0,69.0,0.0,partlycloudy
19900305,62.0,53.0,72.0,0.0,partlysunny
19900306,67.0,62.0,72.0,0.01,hazy
19900307,71.0,69.0,73.0,0.02,rain
19900308,74.0,68.0,79.0,0.0,hazy
19900309,74.0,68.0,79.0,0.0,hazy
19900310,73.0,69.0,77.0,0.0,cloudy
19900311,74.0,70.0,77.0,0.0,rain
19900312,70.0,66.0,75.0,0.43,tstorms
19900313,72.0,68.0,75.0,0.1,rain
19900314,65.0,57.0,73.0,0.15,rain
19900315,58.0,53.0,64.0,0.05,tstorms
19900316,60.0,52.0,69.0,0.0,partlycloudy
19900317,62.0,50.0,75.0,0.0,rain
19900318,62.0,48.0,75.0,0.0,partlycloudy
19900319,62.0,53.0,72.0,0.0,mostlysunny
19900320,56.0,45.0,66.0,0.0,clear
19900321,57.0,44.0,70.0,0.0,mostlysunny
19900322,64.0,53.0,75.0,0.0,partlycloudy
19900323,66.0,57.0,75.0,0.0,hazy
19900324,70.0,62.0,77.0,0.0,hazy
19900325,62.0,54.0,71.0,0.0,mostlycloudy
19900326,60.0,54.0,66.0,0.0,mostlycloudy
19900327,60.0,53.0,66.0,0.0,rain
19900328,66.0,61.0,71.0,0.75,tstorms
19900329,66.0,60.0,72.0,1.28,tstorms
19900330,68.0,61.0,75.0,0.73,tstorms
19900331,68.0,60.0,77.0,0.0,hazy
19900401,70.0,66.0,75.0,0.02,hazy
19900402,72.0,66.0,78.0,0.11,tstorms
19900403,64.0,55.0,73.0,0.0,partlycloudy
19900404,66.0,55.0,77.0,0.0,partlycloudy
19900405,70.0,59.0,80.0,0.0,partlycloudy
19900406,62.0,53.0,69.0,0.23,tstorms
19900407,55.0,46.0,64.0,0.0,mostlysunny
19900408,60.0,51.0,69.0,0.0,mostlycloudy
19900409,70.0,64.0,77.0,0.0,rain
19900410,72.0,64.0,78.0,0.25,tstorms
19900411,64.0,55.0,72.0,0.0,mostlysunny
19900412,63.0,55.0,71.0,0.0,partlycloudy
19900413,65.0,57.0,73.0,0.01,rain
19900414,67.0,59.0,75.0,0.57,tstorms
19900415,66.0,54.0,77.0,0.0,hazy
19900416,72.0,62.0,81.0,0.0,partlysunny
19900417,73.0,64.0,82.0,0.0,hazy
19900418,66.0,62.0,71.0,0.0,hazy
19900419,72.0,66.0,78.0,0.0,hazy
19900420,76.0,71.0,82.0,0.0,hazy
19900421,74.0,66.0,82.0,0.0,hazy
19900422,76.0,68.0,84.0,0.0,hazy
19900423,74.0,66.0,82.0,0.0,hazy
19900424,76.0,68.0,84.0,0.0,mostlycloudy
19900425,78.0,73.0,82.0,0.0,cloudy
19900426,72.0,64.0,81.0,2.56,tstorms
19900427,73.0,64.0,82.0,0.04,tstorms
19900428,69.0,57.0,81.0,0.0,partlycloudy
19900429,78.0,72.0,84.0,0.0,partlysunny
19900430,80.0,73.0,86.0,0.0,rain
19900501,78.0,73.0,84.0,0.0,partlysunny
19900502,78.0,73.0,82.0,0.0,hazy
19900503,76.0,70.0,81.0,1.09,tstorms
19900504,70.0,66.0,75.0,0.0,rain
19900505,66.0,60.0,71.0,0.0,mostlycloudy
19900506,69.0,60.0,78.0,0.0,mostlycloudy
19900507,69.0,59.0,79.0,0.0,partlysunny
19900508,70.0,68.0,72.0,1.23,rain
19900509,75.0,63.0,87.0,0.0,hazy
19900510,72.0,64.0,80.0,0.0,partlycloudy
19900511,74.0,66.0,82.0,0.0,mostlycloudy
19900512,78.0,75.0,82.0,0.01,tstorms
19900513,80.0,71.0,88.0,0.0,hazy
19900514,82.0,75.0,88.0,0.0,hazy
19900515,82.0,75.0,88.0,0.0,rain
19900516,82.0,77.0,88.0,0.0,partlysunny
19900517,82.0,75.0,88.0,1.04,tstorms
19900518,80.0,75.0,84.0,0.0,mostlycloudy
19900519,80.0,77.0,84.0,0.0,rain
19900520,83.0,77.0,89.0,0.0,partlysunny
19900521,84.0,75.0,93.0,0.0,hazy
19900522,79.0,71.0,87.0,0.39,tstorms
19900523,74.0,66.0,82.0,0.0,mostlysunny
19900524,80.0,71.0,88.0,0.0,hazy
19900525,80.0,73.0,88.0,0.0,partlysunny
19900526,80.0,71.0,90.0,0.0,partlycloudy
19900527,83.0,75.0,91.0,0.0,partlysunny
19900528,81.0,73.0,89.0,0.13,partlysunny
19900529,78.0,72.0,84.0,0.0,partlysunny
19900530,83.0,77.0,89.0,0.0,partlysunny
19900531,87.0,73.0,93.0,0.0,rain
19900601,82.0,73.0,91.0,0.0,partlysunny
19900602,86.0,80.0,91.0,0.0,partlysunny
19900603,85.0,77.0,93.0,0.0,partlycloudy
19900604,85.0,75.0,95.0,0.0,mostlycloudy
19900605,84.0,75.0,93.0,0.0,partlycloudy
19900606,85.0,77.0,93.0,0.0,partlycloudy
19900607,84.0,75.0,93.0,0.0,partlycloudy
19900608,84.0,75.0,93.0,0.0,partlycloudy
19900609,84.0,75.0,93.0,0.0,partlycloudy
19900610,84.0,77.0,91.0,0.0,partlysunny
19900611,83.0,73.0,93.0,0.0,partlycloudy
19900612,83.0,75.0,91.0,0.0,partlycloudy
19900613,84.0,75.0,93.0,0.02,partlycloudy
19900614,86.0,79.0,93.0,0.11,partlysunny
19900615,86.0,77.0,95.0,0.0,partlycloudy
19900616,85.0,77.0,93.0,0.0,partlycloudy
19900617,85.0,75.0,95.0,0.0,partlycloudy
19900618,86.0,75.0,97.0,0.0,mostlysunny
19900619,88.0,78.0,97.0,0.0,mostlysunny
19900620,86.0,75.0,96.0,0.0,mostlysunny
19900621,86.0,78.0,95.0,0.0,partlycloudy
19900622,86.0,77.0,96.0,0.0,partlycloudy
19900623,87.0,78.0,96.0,0.0,partlycloudy
19900624,86.0,77.0,96.0,0.0,tstorms
19900625,87.0,77.0,97.0,0.0,tstorms
19900626,81.0,71.0,91.0,0.0,tstorms
19900627,84.0,73.0,96.0,0.0,tstorms
19900628,83.0,75.0,91.0,0.51,partlycloudy
19900629,84.0,75.0,93.0,0.0,partlycloudy
19900630,82.0,75.0,88.0,0.0,rain
19900701,82.0,73.0,91.0,0.0,partlysunny
19900702,85.0,75.0,95.0,0.0,partlycloudy
19900703,83.0,73.0,93.0,0.0,partlycloudy
19900704,83.0,75.0,91.0,0.0,partlysunny
19900705,80.0,75.0,86.0,0.13,tstorms
19900706,83.0,75.0,91.0,0.56,tstorms
19900707,84.0,77.0,91.0,0.0,mostlycloudy
19900708,85.0,75.0,95.0,0.0,partlycloudy
19900709,86.0,78.0,93.0,0.0,partlysunny
19900710,85.0,77.0,93.0,0.0,partlysunny
19900711,84.0,77.0,91.0,0.0,partlysunny
