date,temperature,min_temperature,max_temperature,precip,icon
19900101,41.0,33.0,48.0,0.21,rain
19900102,36.0,30.0,42.0,0.0,clear
19900103,43.0,36.0,50.0,0.0,mostlysunny
19900104,44.0,39.0,50.0,0.01,rain
19900105,44.0,39.0,50.0,0.0,hazy
19900106,39.0,34.0,44.0,0.0,partlysunny
19900107,36.0,30.0,43.0,0.0,partlycloudy
19900108,38.0,34.0,41.0,0.85,snow
19900109,40.0,35.0,46.0,0.0,partlycloudy
19900110,44.0,41.0,46.0,0.04,rain
19900111,42.0,39.0,44.0,0.0,partlysunny
19900112,36.0,30.0,43.0,0.0,snow
19900113,28.0,25.0,30.0,0.0,mostlysunny
19900114,30.0,26.0,35.0,0.0,partlysunny
19900115,38.0,35.0,42.0,0.13,snow
19900116,47.0,39.0,55.0,0.0,partlycloudy
19900117,52.0,45.0,59.0,0.0,partlycloudy
19900118,55.0,45.0,64.0,0.01,rain
19900119,39.0,33.0,44.0,0.0,partlysunny
19900120,34.0,30.0,37.0,0.41,snow
19900121,36.0,34.0,37.0,0.23,rain
19900122,40.0,33.0,46.0,0.1,rain
19900123,42.0,39.0,44.0,0.0,partlycloudy
19900124,50.0,42.0,57.0,0.0,cloudy
19900125,46.0,41.0,52.0,0.87,rain
19900126,45.0,37.0,53.0,0.24,rain
19900127,40.0,34.0,45.0,0.0,partlycloudy
19900128,47.0,39.0,55.0,0.0,partlysunny
19900129,40.0,36.0,44.0,0.61,rain
19900130,40.0,37.0,42.0,0.31,rain
19900131,40.0,32.0,48.0,0.0,mostlysunny
19900201,45.0,37.0,53.0,0.0,partlycloudy
19900202,47.0,39.0,52.0,0.03,rain
19900203,34.0,30.0,39.0,0.02,rain
19900204,36.0,33.0,39.0,0.19,rain
19900205,30.0,24.0,35.0,0.0,partlycloudy
19900206,43.0,34.0,52.0,0.0,mostlysunny
19900207,44.0,37.0,50.0,0.0,partlysunny
19900208,46.0,39.0,54.0,0.0,clear
