date,temperature,min_temperature,max_temperature,precip,icon
19900101,54.0,46.0,62.0,0.0,partlycloudy
19900102,55.0,52.0,57.0,0.42,rain
19900103,53.0,46.0,60.0,0.0,mostlysunny
19900104,53.0,42.0,64.0,0.0,clear
19900105,55.0,44.0,66.0,0.0,clear
19900106,56.0,44.0,69.0,0.0,mostlysunny
19900107,54.0,44.0,64.0,0.0,mostlysunny
19900108,56.0,48.0,64.0,0.0,hazy
19900109,60.0,48.0,71.0,0.0,hazy
19900110,58.0,51.0,66.0,0.0,hazy
19900111,60.0,50.0,71.0,0.0,hazy
19900112,58.0,53.0,64.0,0.0,hazy
19900113,59.0,55.0,63.0,0.12,rain
19900114,58.0,54.0,62.0,0.83,rain
19900115,56.0,51.0,60.0,0.17,rain
19900116,55.0,51.0,59.0,0.14,rain
19900117,52.0,46.0,55.0,0.44,tstorms
19900118,50.0,45.0,55.0,0.0,tstorms
19900119,52.0,45.0,59.0,0.0,mostlysunny
19900120,56.0,48.0,64.0,0.0,mostlysunny
19900121,56.0,45.0,66.0,0.0,partlycloudy
19900122,57.0,44.0,70.0,0.0,mostlysunny
19900123,58.0,46.0,71.0,0.0,clear
19900124,64.0,48.0,80.0,0.0,clear
19900125,62.0,48.0,75.0,0.0,clear
19900126,58.0,46.0,71.0,0.0,partlycloudy
19900127,57.0,48.0,66.0,0.0,hazy
19900128,59.0,45.0,73.0,0.0,mostlysunny
19900129,58.0,46.0,69.0,0.0,hazy
19900130,54.0,46.0,62.0,0.04,rain
19900131,56.0,52.0,60.0,0.09,rain
19900201,56.0,53.0,60.0,0.0,rain
19900202,54.0,45.0,62.0,0.0,clear
19900203,54.0,45.0,64.0,0.0,partlycloudy
19900204,52.0,46.0,57.0,0.25,rain
19900205,52.0,44.0,60.0,0.0,clear
19900206,52.0,44.0,61.0,0.0,mostlysunny
19900207,53.0,46.0,60.0,0.0,mostlycloudy
19900208,56.0,52.0,61.0,0.0,partlycloudy
19900209,54.0,45.0,62.0,0.0,clear
19900210,56.0,45.0,66.0,0.0,mostlysunny
19900211,60.0,48.0,71.0,0.0,partlycloudy
19900212,58.0,55.0,62.0,0.0,hazy
19900213,56.0,53.0,59.0,0.0,rain
19900214,50.0,46.0,52.0,0.0,rain
19900215,46.0,37.0,54.0,0.0,mostlysunny
19900216,48.0,41.0,55.0,0.0,mostlysunny
19900217,54.0,50.0,57.0,0.68,rain
19900218,55.0,51.0,59.0,0.17,rain
19900219,48.0,42.0,55.0,0.0,mostlysunny
19900220,52.0,42.0,61.0,0.0,partlycloudy
19900221,54.0,46.0,63.0,0.0,partlysunny
19900222,59.0,46.0,72.0,0.0,partlysunny
19900223,66.0,53.0,78.0,0.0,partlycloudy
19900224,63.0,51.0,75.0,0.0,partlysunny
19900225,64.0,55.0,72.0,0.0,hazy
19900226,58.0,52.0,64.0,0.0,hazy
19900227,58.0,53.0,62.0,0.0,hazy
19900228,58.0,54.0,61.0,0.0,mostlycloudy
19900301,59.0,55.0,63.0,0.0,hazy
19900302,60.0,57.0,62.0,71.26,mostlycloudy
19900303,60.0,55.0,66.0,0.0,partlysunny
19900304,58.0,55.0,61.0,0.0,rain
19900305,56.0,52.0,59.0,0.02,rain
19900306,54.0,46.0,62.0,0.0,clear
19900307,56.0,46.0,66.0,0.0,partlycloudy
19900308,58.0,54.0,61.0,0.0,cloudy
19900309,57.0,55.0,59.0,0.0,cloudy
19900310,58.0,55.0,62.0,0.0,rain
19900311,55.0,52.0,57.0,0.1,rain
19900312,54.0,51.0,57.0,0.0,tstorms
19900313,52.0,46.0,59.0,0.0,partlycloudy
19900314,54.0,46.0,62.0,0.0,partlycloudy
19900315,58.0,48.0,69.0,0.0,clear
19900316,63.0,51.0,75.0,0.0,partlysunny
19900317,63.0,54.0,72.0,0.0,mostlysunny
19900318,59.0,50.0,68.0,0.0,hazy
19900319,60.0,53.0,66.0,0.0,hazy
19900320,64.0,52.0,75.0,0.0,hazy
19900321,66.0,55.0,78.0,0.0,hazy
19900322,58.0,55.0,62.0,0.0,hazy
19900323,58.0,55.0,62.0,0.0,partlysunny
19900324,58.0,55.0,60.0,0.0,hazy
19900325,60.0,57.0,64.0,0.0,mostlycloudy
19900326,59.0,55.0,63.0,0.0,cloudy
19900327,58.0,55.0,62.0,0.0,rain
19900328,56.0,54.0,57.0,0.13,rain
