date,temperature,min_temperature,max_temperature,precip,icon
19900101,41.0,36.0,45.0,0.02,rain
19900102,38.0,34.0,43.0,0.0,mostlycloudy
19900103,42.0,39.0,45.0,0.15,rain
19900104,47.0,44.0,50.0,0.25,rain
19900105,50.0,45.0,54.0,0.84,rain
19900106,48.0,44.0,52.0,0.78,rain
19900107,48.0,44.0,52.0,0.51,rain
19900108,46.0,43.0,48.0,0.35,rain
19900109,48.0,42.0,53.0,2.83,rain
19900110,40.0,37.0,44.0,0.0,mostlycloudy
19900111,42.0,36.0,48.0,0.01,rain
19900112,44.0,39.0,50.0,0.0,rain
19900113,47.0,43.0,51.0,0.07,rain
19900114,46.0,44.0,48.0,0.05,rain
19900115,44.0,41.0,0.0,0.04,rain
19900116,42.0,39.0,46.0,0.0,rain
19900117,42.0,36.0,48.0,0.0,partlycloudy
19900118,37.0,28.0,46.0,0.0,hazy
19900119,38.0,28.0,48.0,0.0,mostlysunny
19900120,40.0,32.0,48.0,0.0,hazy
19900121,44.0,41.0,46.0,0.08,rain
19900122,44.0,41.0,46.0,0.45,rain
19900123,42.0,37.0,46.0,0.0,partlycloudy
19900124,42.0,37.0,46.0,0.0,mostlycloudy
19900125,42.0,37.0,46.0,0.38,rain
19900126,36.0,32.0,39.0,0.02,snow
19900127,42.0,37.0,0.0,0.26,rain
19900128,42.0,39.0,45.0,0.7,rain
19900129,40.0,39.0,42.0,0.36,rain
19900130,37.0,33.0,41.0,0.24,snow
19900131,36.0,33.0,39.0,0.68,snow
19900201,40.0,37.0,44.0,0.08,rain
19900202,44.0,39.0,48.0,0.15,rain
19900203,44.0,37.0,50.0,0.47,rain
19900204,40.0,36.0,44.0,0.04,rain
19900205,40.0,35.0,43.0,0.24,rain
19900206,36.0,33.0,39.0,0.11,snow
19900207,36.0,32.0,39.0,0.23,snow
19900208,39.0,35.0,43.0,0.12,snow
19900209,46.0,43.0,48.0,0.05,rain
19900210,49.0,48.0,50.0,0.23,rain
19900211,42.0,32.0,50.0,0.13,snow
19900212,34.0,28.0,37.0,0.0,snow
19900213,32.0,27.0,36.0,0.0,partlycloudy
19900214,27.0,21.0,33.0,0.0,snow
19900215,34.0,33.0,36.0,0.25,snow
19900216,34.0,30.0,37.0,0.23,tstorms
19900217,26.0,23.0,30.0,0.53,snow
19900218,28.0,19.0,37.0,0.0,hazy
19900219,30.0,21.0,39.0,0.02,rain
19900220,40.0,34.0,46.0,0.56,snow
19900221,44.0,41.0,46.0,0.0,rain
19900222,44.0,37.0,50.0,0.0,hazy
19900223,43.0,34.0,52.0,0.0,rain
19900224,50.0,46.0,53.0,0.02,rain
19900225,45.0,39.0,51.0,0.0,hazy
19900226,46.0,37.0,54.0,0.0,hazy
19900227,52.0,39.0,64.0,0.0,clear
19900228,52.0,39.0,64.0,0.0,clear
19900301,48.0,34.0,61.0,0.0,clear
19900302,50.0,36.0,63.0,0.0,mostlysunny
19900303,49.0,46.0,52.0,0.04,rain
19900304,49.0,43.0,55.0,0.01,rain
19900305,49.0,45.0,53.0,0.01,rain
19900306,45.0,44.0,46.0,0.18,rain
19900307,42.0,37.0,48.0,0.39,rain
19900308,36.0,34.0,39.0,0.26,snow
19900309,42.0,37.0,46.0,0.4,rain
19900310,40.0,35.0,46.0,0.02,rain
19900311,41.0,34.0,48.0,0.0,partlysunny
19900312,42.0,35.0,50.0,0.0,partlycloudy
19900313,42.0,32.0,51.0,0.3,rain
19900314,46.0,39.0,52.0,0.14,rain
19900315,47.0,37.0,57.0,0.0,partlysunny
19900316,50.0,41.0,60.0,0.0,rain
19900317,52.0,48.0,57.0,0.37,rain
19900318,52.0,46.0,59.0,0.0,partlysunny
19900319,52.0,46.0,57.0,0.06,rain
19900320,52.0,46.0,57.0,0.03,rain
19900321,50.0,42.0,59.0,0.0,hazy
19900322,44.0,39.0,50.0,0.21,rain
19900323,42.0,37.0,48.0,0.04,rain
19900324,47.0,39.0,55.0,0.0,mostlysunny
19900325,51.0,41.0,59.0,0.0,partlycloudy
19900326,48.0,35.0,61.0,0.0,mostlysunny
19900327,50.0,39.0,62.0,0.0,clear
19900328,54.0,41.0,66.0,0.0,mostlysunny
19900329,50.0,39.0,60.0,0.0,hazy
19900330,45.0,42.0,48.0,0.0,hazy
19900331,51.0,45.0,57.0,0.0,hazy
19900401,50.0,43.0,57.0,0.0,hazy
19900402,52.0,46.0,57.0,0.0,mostlycloudy
19900403,52.0,41.0,62.0,0.0,clear
19900404,54.0,43.0,64.0,0.0,clear
19900405,54.0,42.0,66.0,0.0,mostlysunny
19900406,53.0,42.0,64.0,0.0,hazy
19900407,48.0,41.0,55.0,0.0,hazy
19900408,48.0,43.0,54.0,0.0,rain
19900409,49.0,41.0,57.0,0.0,partlysunny
19900410,54.0,41.0,68.0,0.0,mostlycloudy
19900411,54.0,48.0,60.0,0.17,rain
19900412,50.0,44.0,57.0,0.0,mostlycloudy
19900413,51.0,48.0,54.0,0.34,rain
19900414,56.0,51.0,62.0,0.06,rain
19900415,58.0,46.0,71.0,0.0,hazy
19900416,64.0,51.0,77.0,0.0,partlysunny
19900417,52.0,50.0,55.0,0.15,rain
19900418,52.0,46.0,57.0,0.0,mostlycloudy
19900419,52.0,48.0,57.0,0.03,rain
19900420,53.0,50.0,55.0,0.13,rain
19900421,52.0,46.0,57.0,0.0,cloudy
19900422,50.0,46.0,55.0,0.45,rain
19900423,50.0,46.0,53.0,0.36,rain
19900424,50.0,44.0,57.0,0.01,rain
19900425,50.0,45.0,55.0,0.28,rain
19900426,46.0,43.0,50.0,0.0,rain
19900427,44.0,42.0,46.0,0.29,rain
19900428,48.0,41.0,55.0,0.18,rain
19900429,52.0,44.0,59.0,0.07,rain
19900430,52.0,41.0,64.0,0.0,mostlysunny
19900501,52.0,44.0,60.0,0.0,rain
19900502,54.0,50.0,59.0,0.11,rain
19900503,60.0,51.0,69.0,0.0,hazy
19900504,62.0,48.0,77.0,0.0,partlycloudy
19900505,60.0,48.0,73.0,0.0,partlycloudy
19900506,48.0,41.0,55.0,0.38,tstorms
19900507,48.0,41.0,55.0,0.0,rain
19900508,51.0,39.0,63.0,0.0,hazy
19900509,58.0,46.0,69.0,0.0,mostlysunny
19900510,52.0,48.0,57.0,0.0,mostlycloudy
19900511,54.0,48.0,60.0,0.0,mostlycloudy
19900512,54.0,48.0,59.0,0.0,rain
19900513,50.0,46.0,55.0,0.05,rain
19900514,50.0,44.0,57.0,0.02,rain
19900515,51.0,45.0,57.0,0.0,mostlycloudy
19900516,54.0,46.0,61.0,0.0,partlysunny
19900517,54.0,46.0,61.0,0.0,mostlycloudy
19900518,52.0,46.0,59.0,0.0,mostlycloudy
19900519,55.0,46.0,64.0,0.0,rain
19900520,54.0,48.0,59.0,0.19,tstorms
19900521,57.0,48.0,66.0,0.01,rain
19900522,56.0,51.0,62.0,0.02,rain
19900523,52.0,48.0,55.0,0.0,mostlycloudy
19900524,52.0,44.0,60.0,0.0,partlysunny
19900525,54.0,45.0,64.0,0.0,partlysunny
19900526,54.0,45.0,64.0,0.0,rain
19900527,59.0,54.0,64.0,0.03,rain
19900528,61.0,54.0,68.0,0.0,hazy
19900529,57.0,50.0,64.0,0.0,mostlycloudy
19900530,60.0,50.0,70.0,0.72,tstorms
19900531,52.0,48.0,55.0,0.2,rain
19900601,52.0,48.0,57.0,0.06,rain
19900602,58.0,50.0,66.0,0.03,rain
19900603,55.0,48.0,60.0,1.11,rain
19900604,54.0,46.0,62.0,0.06,rain
19900605,57.0,48.0,66.0,0.0,rain
19900606,58.0,53.0,61.0,0.57,rain
19900607,57.0,50.0,64.0,0.0,rain
19900608,59.0,52.0,66.0,0.14,rain
19900609,54.0,50.0,59.0,0.53,rain
19900610,52.0,46.0,57.0,0.14,rain
19900611,56.0,50.0,61.0,0.0,rain
19900612,55.0,50.0,60.0,0.23,rain
19900613,58.0,50.0,66.0,0.0,mostlycloudy
19900614,64.0,52.0,75.0,0.0,partlycloudy
19900615,60.0,52.0,69.0,0.0,hazy
19900616,58.0,52.0,63.0,0.01,hazy
19900617,61.0,50.0,72.0,0.0,rain
19900618,62.0,51.0,73.0,0.0,hazy
19900619,62.0,54.0,71.0,0.0,partlysunny
19900620,65.0,57.0,73.0,0.0,partlycloudy
19900621,70.0,57.0,84.0,0.0,mostlysunny
19900622,64.0,57.0,72.0,0.02,tstorms
19900623,60.0,53.0,66.0,0.0,hazy
19900624,62.0,51.0,72.0,0.0,partlycloudy
19900625,58.0,51.0,64.0,0.0,partlysunny
19900626,60.0,51.0,70.0,0.0,partlysunny
19900627,62.0,52.0,72.0,0.0,rain
19900628,64.0,55.0,72.0,0.02,rain
19900629,66.0,55.0,78.0,0.0,partlycloudy
19900630,65.0,57.0,71.0,0.01,rain
19900701,60.0,55.0,66.0,0.0,rain
19900702,57.0,52.0,62.0,0.39,rain
19900703,62.0,51.0,72.0,0.0,partlycloudy
19900704,68.0,57.0,79.0,0.0,mostlycloudy
19900705,67.0,57.0,75.0,0.17,tstorms
19900706,64.0,55.0,72.0,0.01,rain
19900707,65.0,55.0,75.0,0.0,rain
19900708,68.0,57.0,79.0,0.0,mostlysunny
19900709,69.0,57.0,81.0,0.0,mostlysunny
19900710,72.0,60.0,84.0,0.0,clear
19900711,75.0,63.0,87.0,0.0,rain
19900712,77.0,68.0,86.0,0.0,partlycloudy
19900713,68.0,55.0,82.0,0.0,mostlysunny
19900714,70.0,57.0,84.0,0.0,clear
19900715,72.0,57.0,86.0,0.0,clear
19900716,66.0,54.0,77.0,0.0,mostlysunny
19900717,65.0,52.0,78.0,0.0,clear
19900718,69.0,57.0,81.0,0.0,mostlysunny
19900719,72.0,61.0,84.0,0.0,mostlysunny
19900720,76.0,61.0,90.0,0.0,mostlysunny
19900721,78.0,62.0,93.0,0.0,clear
19900722,74.0,60.0,86.0,0.0,partlysunny
19900723,63.0,57.0,69.0,0.0,cloudy
19900724,60.0,55.0,66.0,0.0,cloudy
19900725,58.0,55.0,61.0,0.01,rain
19900726,60.0,57.0,64.0,0.0,cloudy
19900727,66.0,57.0,75.0,0.0,partlysunny
19900728,68.0,55.0,82.0,0.0,clear
19900729,76.0,61.0,90.0,0.0,mostlysunny
19900730,74.0,61.0,88.0,0.0,partlycloudy
19900731,64.0,57.0,71.0,0.0,partlysunny
19900801,64.0,57.0,71.0,0.0,hazy
19900802,64.0,51.0,78.0,0.0,mostlysunny
19900803,71.0,60.0,82.0,0.0,hazy
19900804,76.0,61.0,91.0,0.0,partlycloudy
19900805,74.0,63.0,84.0,0.0,partlycloudy
19900806,66.0,55.0,77.0,0.0,partlycloudy
19900807,68.0,55.0,82.0,0.0,mostlysunny
19900808,70.0,60.0,81.0,0.0,partlycloudy
19900809,70.0,55.0,84.0,0.0,partlycloudy
19900810,76.0,61.0,90.0,0.0,mostlysunny
19900811,80.0,66.0,93.0,0.0,mostlysunny
19900812,76.0,62.0,88.0,0.0,mostlysunny
19900813,68.0,60.0,75.0,0.0,mostlycloudy
19900814,68.0,55.0,81.0,0.0,partlycloudy
19900815,65.0,57.0,73.0,0.0,partlysunny
19900816,68.0,60.0,75.0,0.0,partlysunny
19900817,66.0,60.0,73.0,0.01,rain
19900818,65.0,60.0,70.0,0.08,rain
19900819,63.0,55.0,71.0,0.02,rain
19900820,66.0,55.0,77.0,0.0,rain
19900821,62.0,60.0,64.0,0.12,rain
19900822,67.0,60.0,73.0,0.0,mostlycloudy
19900823,60.0,50.0,69.0,0.0,partlycloudy
19900824,62.0,54.0,70.0,0.0,partlysunny
19900825,62.0,53.0,71.0,0.0,partlysunny
19900826,63.0,51.0,75.0,0.0,partlysunny
19900827,65.0,53.0,77.0,0.0,partlycloudy
19900828,70.0,57.0,84.0,0.0,partlycloudy
19900829,63.0,59.0,66.0,0.27,rain
19900830,62.0,59.0,66.0,0.12,rain
