date,temperature,min_temperature,max_temperature,precip,icon
19900101,50.0,46.0,53.0,0.57,rain
19900102,48.0,41.0,55.0,0.0,mostlysunny
19900103,46.0,39.0,53.0,0.0,mostlysunny
19900104,44.0,37.0,52.0,0.0,partlycloudy
19900105,48.0,41.0,55.0,0.0,partlysunny
19900106,47.0,42.0,52.0,0.0,hazy
19900107,52.0,48.0,57.0,0.01,rain
19900108,59.0,55.0,63.0,0.0,rain
19900109,58.0,52.0,63.0,0.0,hazy
19900110,56.0,50.0,63.0,0.0,hazy
19900111,52.0,46.0,57.0,0.0,hazy
19900112,56.0,52.0,59.0,0.94,rain
19900113,52.0,50.0,55.0,0.58,tstorms
19900114,52.0,50.0,54.0,0.25,rain
19900115,50.0,46.0,55.0,0.0,partlysunny
19900116,48.0,44.0,51.0,0.16,rain
19900117,48.0,41.0,54.0,0.0,mostlysunny
19900118,48.0,39.0,57.0,0.0,clear
19900119,45.0,39.0,51.0,0.0,partlysunny
19900120,48.0,39.0,57.0,0.0,hazy
19900121,48.0,39.0,57.0,0.0,clear
19900122,48.0,42.0,55.0,0.0,hazy
19900123,50.0,39.0,61.0,0.0,hazy
19900124,51.0,39.0,63.0,0.0,mostlysunny
19900125,49.0,44.0,54.0,0.0,hazy
19900126,50.0,46.0,55.0,0.0,hazy
19900127,47.0,39.0,55.0,0.0,clear
19900128,48.0,39.0,57.0,0.0,partlycloudy
19900129,51.0,45.0,57.0,0.02,rain
19900130,51.0,48.0,54.0,0.23,rain
19900131,47.0,42.0,52.0,0.21,rain
19900201,50.0,45.0,55.0,0.0,partlycloudy
19900202,48.0,42.0,55.0,0.0,partlycloudy
19900203,50.0,44.0,57.0,0.5,rain
19900204,48.0,44.0,53.0,0.0,mostlysunny
19900205,48.0,42.0,54.0,0.0,partlysunny
19900206,48.0,44.0,52.0,0.08,rain
19900207,46.0,39.0,52.0,0.0,clear
19900208,48.0,41.0,55.0,0.0,partlysunny
19900209,50.0,46.0,55.0,0.0,mostlycloudy
19900210,53.0,46.0,60.0,0.0,hazy
19900211,50.0,45.0,55.0,0.0,hazy
19900212,52.0,46.0,57.0,0.0,partlycloudy
19900213,46.0,41.0,50.0,0.0,mostlysunny
19900214,42.0,37.0,48.0,0.0,clear
19900215,42.0,34.0,51.0,0.05,rain
19900216,46.0,42.0,51.0,1.33,rain
19900217,44.0,39.0,48.0,0.24,rain
19900218,43.0,36.0,50.0,0.01,rain
19900219,46.0,37.0,55.0,0.0,mostlysunny
19900220,44.0,37.0,50.0,0.0,partlysunny
19900221,53.0,45.0,61.0,0.0,partlycloudy
19900222,55.0,44.0,66.0,0.0,mostlysunny
19900223,56.0,48.0,64.0,0.0,hazy
19900224,58.0,48.0,69.0,0.0,hazy
19900225,52.0,46.0,57.0,0.0,hazy
19900226,52.0,48.0,55.0,0.0,partlycloudy
19900227,50.0,46.0,55.0,0.0,partlycloudy
19900228,52.0,48.0,55.0,0.0,hazy
19900301,52.0,48.0,55.0,0.0,rain
19900302,52.0,50.0,55.0,0.34,rain
19900303,54.0,48.0,61.0,0.0,rain
19900304,51.0,48.0,54.0,0.12,rain
19900305,52.0,45.0,59.0,0.0,mostlysunny
19900306,54.0,44.0,64.0,0.0,clear
19900307,50.0,46.0,0.0,0.0,partlysunny
19900308,49.0,44.0,54.0,0.0,partlycloudy
19900309,50.0,43.0,57.0,0.0,partlycloudy
19900310,50.0,44.0,55.0,0.24,rain
19900311,48.0,43.0,53.0,0.02,partlycloudy
19900312,48.0,43.0,53.0,0.01,rain
19900313,48.0,39.0,57.0,0.0,partlysunny
19900314,52.0,48.0,57.0,0.02,rain
19900315,57.0,50.0,64.0,0.0,mostlycloudy
19900316,58.0,51.0,64.0,0.0,hazy
19900317,54.0,48.0,60.0,0.0,rain
19900318,54.0,48.0,60.0,0.0,hazy
19900319,54.0,46.0,62.0,0.0,partlysunny
19900320,59.0,48.0,70.0,0.0,mostlysunny
19900321,55.0,48.0,62.0,0.0,hazy
19900322,54.0,46.0,61.0,0.0,partlysunny
19900323,57.0,48.0,64.0,0.0,partlysunny
19900324,52.0,48.0,57.0,0.0,hazy
19900325,54.0,50.0,57.0,0.1,partlysunny
19900326,56.0,48.0,64.0,0.0,mostlysunny
19900327,54.0,45.0,62.0,0.0,mostlysunny
19900328,55.0,48.0,62.0,0.0,mostlysunny
19900329,54.0,46.0,61.0,0.0,partlycloudy
19900330,56.0,48.0,63.0,0.0,partlycloudy
19900331,52.0,46.0,57.0,0.0,partlycloudy
19900401,54.0,48.0,60.0,0.0,partlycloudy
19900402,57.0,46.0,68.0,0.0,mostlysunny
19900403,62.0,48.0,77.0,0.0,partlysunny
19900404,57.0,48.0,66.0,0.0,partlysunny
19900405,58.0,52.0,64.0,0.0,partlysunny
19900406,58.0,53.0,63.0,0.0,mostlycloudy
19900407,57.0,53.0,61.0,0.0,cloudy
19900408,56.0,52.0,60.0,0.0,partlysunny
19900409,58.0,46.0,71.0,0.0,partlysunny
19900410,58.0,51.0,66.0,0.0,mostlycloudy
19900411,59.0,52.0,66.0,0.0,partlycloudy
19900412,60.0,50.0,71.0,0.0,partlycloudy
19900413,65.0,51.0,79.0,0.0,partlycloudy
19900414,60.0,52.0,68.0,0.0,partlysunny
19900415,59.0,54.0,64.0,0.0,mostlycloudy
19900416,59.0,55.0,63.0,0.0,rain
19900417,57.0,54.0,59.0,0.0,rain
19900418,56.0,53.0,59.0,0.0,cloudy
19900419,57.0,50.0,64.0,0.0,rain
19900420,58.0,53.0,64.0,0.0,hazy
19900421,56.0,53.0,59.0,0.0,cloudy
19900422,56.0,52.0,59.0,0.01,rain
19900423,56.0,52.0,60.0,0.16,rain
19900424,55.0,48.0,62.0,0.0,clear
19900425,57.0,48.0,66.0,0.0,partlysunny
19900426,60.0,52.0,68.0,0.0,mostlysunny
19900427,62.0,50.0,73.0,0.0,partlysunny
19900428,57.0,52.0,62.0,0.0,partlysunny
19900429,54.0,48.0,59.0,0.0,clear
